I_Id,I_Name,I_cat,I_rs,I_loc,I_ki,istock
1,Kaju Matter,1,150,0,2,-1
3,IDLY sambar,16,50,0,1,-17
4,MENDU VADA,16,50,0,1,-2
421,GULAB JAMUN 500gr,13,140,0,0,0
6,HALF IDLY,16,25,0,1,-1
7,RASAM IDLY,16,60,0,1,0
8,DAL VADA,16,50,0,1,-2
9,I MV,16,50,0,1,-2
10,D MV,16,50,0,1,0
11,I A V,16,50,0,1,0
12,ALU VADA,16,50,0,1,0
319,LOLY POP ,12,5,0,0,-2
14,IDLY DHAI,16,80,0,1,0
15,upma,16,50,0,1,0
317,DHI VADA,16,70,0,1,-4
320,LEMON RICE,25,90,0,1,0
18,DHAI RICE,16,100,0,2,0
19,CHEEZ SADA,18,90,0,1,1
20,CHEEZ MASALA DOSA,18,95,0,1,-1
21,OPEN MASALA,18,95,0,1,-2
22,GREEN DOSA,18,95,0,1,0
23,SPRING DOSA,18,99,0,1,0
24,COCONUT DOSA,18,95,0,1,0
25,SET DOSA,18,90,0,1,0
26,WATER DOSA,18,90,0,1,0
27,MUNG DAL DOSA,18,90,0,1,0
28,SADA DOSA,17,50,0,1,-9
29,MASALA DOSA ,17,65,0,1,-29
31,RAVA MASALA ,17,90,0,1,-1
32,RAVA SADA,17,80,0,1,2
33,MYSUR SADA,17,85,0,1,0
34,MYSUR MASALA,17,95,0,1,-3
35,PEPAR SADA,17,99,0,1,0
36,PEPAR MASALA,17,120,0,1,-1
37,PEPAR SADA BTTUR,17,120,0,1,0
38,PEPAR MASALA .BT,17,140,0,1,-2
39,SADA BUTTER,17,80,0,1,1
318,CHOKO BAR ,12,15,0,0,0
41,PL UTTHAPP,19,60,0,1,-1
42,MIX UTTHAPPA,19,75,0,1,-3
43,MASALA UTTHAPPA,19,90,0,1,-1
44,BUTTR UTTHAPPA,19,90,0,1,0
45,CHEEZ UTTHAPA PLAIN,19,95,0,1,-1
46,ONIYA CHEEZ UTTHAPPA,19,99,0,1,-2
47,BUTAR MASALA,17,90,0,1,0
426,Mini thali,1,80,0,2,0
266,PLAIN DHIVADA,16,40,0,1,0
267,chatny 1 vati  20,16,20,0,1,0
51,BHEAL PURI,22,50,0,1,0
52,DHAI PURI,22,60,0,1,0
53,SEV PURI,22,60,0,1,0
54,VADA PAV 1 PC,22,30,0,1,0
55,VADA PAV,22,50,0,1,0
56,SP PAV BAJI,23,80,0,1,-4
57,EXTRA PAV,23,7,0,1,-3
326,PLAIN IDLY ,16,30,0,1,0
59,PANNIR PAKODA,9,140,0,2,-1
61,FINGAR CHEPSS,23,90,0,2,0
62,VEG CHEESE PIZA,20,120,0,2,0
63,JAIN PIZA,20,120,0,2,0
64,PLAIN CHEESE PIZAA,20,130,0,2,0
65,MUSHRUM ONIYAN PIZA,20,140,0,2,0
66,ITELYAN PIZA,20,140,0,2,0
67,VEG SANDWICH,24,50,0,2,-1
68,VEG SANDWICH TOST,24,50,0,2,0
69,VEG SANDWICH GREEL,24,60,0,2,0
70,VEG CHEEZ SANDWICH,24,60,0,2,0
71,VEG CHEEZ SANDWICH TOST,24,70,0,2,0
72,VEG CHEZ SANDWICH GREEL,24,80,0,2,0
73,CHEZ SANDWICHI,24,60,0,2,0
74,CHEZ SANDWICH TOST,24,70,0,2,0
75,CHEZ SANDWICH GREEL,24,80,0,2,0
76,CLUB SANDWICHI,24,90,0,2,0
77,JAM BREED,24,30,0,2,0
78,BRED BUTTER,24,50,0,2,0
80,LAIM WATER,21,30,0,0,0
81, Lassi/s&st/softdriks,21,40,0,0,-2
82,LASSI SWEET,21,40,0,0,-9
83,LASSI KARA,21,40,0,0,-2
