id,sub_category_id,name,price,desc,img,created_at,updated_at,deleted_at
,1,Kaju Matter,150,A,Kaju Matter.jpg,,,
,16,IDLY sambar,50,P,IDLY sambar.jpg,,,
,16,MENDU VADA,50,P,MENDU VADA.jpg,,,
,13,GULAB JAMUN 500gr,140,M,GULAB JAMUN 500gr.jpg,,,
,16,HALF IDLY,25,P,HALF IDLY.jpg,,,
,16,RASAM IDLY,60,P,RASAM IDLY.jpg,,,
,16,DAL VADA,50,P,DAL VADA.jpg,,,
,16,I MV,50,P,I MV.jpg,,,
,16,D MV,50,P,D MV.jpg,,,
,16,I A V,50,P,I A V.jpg,,,
,16,ALU VADA,50,P,ALU VADA.jpg,,,
,12,LOLY POP ,5,L,LOLY POP .jpg,,,
,16,IDLY DHAI,80,P,IDLY DHAI.jpg,,,
,16,upma,50,P,upma.jpg,,,
,16,DHI VADA,70,P,DHI VADA.jpg,,,
,25,LEMON RICE,90,Y,LEMON RICE.jpg,,,
,16,DHAI RICE,100,P,DHAI RICE.jpg,,,
,18,CHEEZ SADA,90,R,CHEEZ SADA.jpg,,,
,18,CHEEZ MASALA DOSA,95,R,CHEEZ MASALA DOSA.jpg,,,
,18,OPEN MASALA,95,R,OPEN MASALA.jpg,,,
,18,GREEN DOSA,95,R,GREEN DOSA.jpg,,,
,18,SPRING DOSA,99,R,SPRING DOSA.jpg,,,
,18,COCONUT DOSA,95,R,COCONUT DOSA.jpg,,,
,18,SET DOSA,90,R,SET DOSA.jpg,,,
,18,WATER DOSA,90,R,WATER DOSA.jpg,,,
,18,MUNG DAL DOSA,90,R,MUNG DAL DOSA.jpg,,,
,17,SADA DOSA,50,Q,SADA DOSA.jpg,,,
,17,MASALA DOSA ,65,Q,MASALA DOSA .jpg,,,
,17,RAVA MASALA ,90,Q,RAVA MASALA .jpg,,,
,17,RAVA SADA,80,Q,RAVA SADA.jpg,,,
,17,MYSUR SADA,85,Q,MYSUR SADA.jpg,,,
,17,MYSUR MASALA,95,Q,MYSUR MASALA.jpg,,,
,17,PEPAR SADA,99,Q,PEPAR SADA.jpg,,,
,17,PEPAR MASALA,120,Q,PEPAR MASALA.jpg,,,
,17,PEPAR SADA BTTUR,120,Q,PEPAR SADA BTTUR.jpg,,,
,17,PEPAR MASALA .BT,140,Q,PEPAR MASALA .BT.jpg,,,
,17,SADA BUTTER,80,Q,SADA BUTTER.jpg,,,
,12,CHOKO BAR ,15,L,CHOKO BAR .jpg,,,
,19,PL UTTHAPP,60,S,PL UTTHAPP.jpg,,,
,19,MIX UTTHAPPA,75,S,MIX UTTHAPPA.jpg,,,
,19,MASALA UTTHAPPA,90,S,MASALA UTTHAPPA.jpg,,,
,19,BUTTR UTTHAPPA,90,S,BUTTR UTTHAPPA.jpg,,,
,19,CHEEZ UTTHAPA PLAIN,95,S,CHEEZ UTTHAPA PLAIN.jpg,,,
,19,ONIYA CHEEZ UTTHAPPA,99,S,ONIYA CHEEZ UTTHAPPA.jpg,,,
,17,BUTAR MASALA,90,Q,BUTAR MASALA.jpg,,,
,1,Mini thali,80,A,Mini thali.jpg,,,
,16,PLAIN DHIVADA,40,P,PLAIN DHIVADA.jpg,,,
,16,chatny 1 vati  20,20,P,chatny 1 vati  20.jpg,,,
,22,BHEAL PURI,50,V,BHEAL PURI.jpg,,,
,22,DHAI PURI,60,V,DHAI PURI.jpg,,,
,22,SEV PURI,60,V,SEV PURI.jpg,,,
,22,VADA PAV 1 PC,30,V,VADA PAV 1 PC.jpg,,,
,22,VADA PAV,50,V,VADA PAV.jpg,,,
,23,SP PAV BAJI,80,W,SP PAV BAJI.jpg,,,
